hero_id,drafted,used,use_per_draft,winner_share_of_uses
nazgul,7027,6656,0.947203643090935,0.49158653846153844
wormtongue,7024,6644,0.9458997722095672,0.5018061408789886
legolas,7009,6543,0.9335140533599657,0.5029802842732691
gollum,6987,6527,0.934163446400458,0.47111996322966143
sauron,7047,6468,0.9178373776074925,0.520717377860235
saruman,7013,6403,0.9130186795950378,0.6606278307043574
aragorn,6887,6038,0.8767242631043995,0.5043060616098046
gandalf,6991,5252,0.7512516092118438,0.4103198781416603
boromir,7008,5014,0.7154680365296804,0.5109692859992022
balrog,7077,3374,0.47675568743818003,0.7317723770005927
galadriel,6974,1970,0.28247777459133927,0.3
frodo,6956,1965,0.2824899367452559,0.361323155216285
